n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,94365.8,0,165808,344496,132830,81016
4096,1,silence,8271.3,0,165808,344496,133450,79953
4096,3,mixed,196614.4,0,231344,344496,247068,79700
4096,3,silence,8339.1,0,231344,344496,246640,80105
4096,5,mixed,292211.8,0,296880,344496,314046,115208
4096,5,silence,8152.3,0,296880,344496,321585,115903
8192,1,mixed,150878.6,0,329648,328112,93140,156788
8192,1,silence,11294.6,0,329648,328112,90148,160265
8192,3,mixed,366057.8,0,460720,491952,321463,159039
8192,3,silence,11318.6,0,460720,491952,327155,162109
8192,5,mixed,584124.8,0,591792,623024,456000,228379
8192,5,silence,11517.2,0,591792,623024,463788,226394
16384,1,mixed,278713.7,0,657328,672176,272336,317560
16384,1,silence,17454.5,0,657328,672176,269800,323359
16384,3,mixed,746817.9,0,919472,983472,723041,316869
16384,3,silence,17596.2,0,919472,983472,719606,314811
16384,5,mixed,1221260.3,0,1181616,1245616,997045,454154
16384,5,silence,17545.2,0,1181616,1245616,1021225,449058
