n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,65878.4,0,215840,468840,213990,104115
4096,1,silence,8361.7,0,215840,468840,208876,102925
4096,3,mixed,105028.1,0,281376,468840,343616,107426
4096,3,silence,8322.7,0,281376,468840,344420,103610
4096,5,mixed,143644.5,0,346912,468840,429435,143723
4096,5,silence,8111.1,0,346912,468840,413546,141794
8192,1,mixed,84164.4,0,428480,427328,141551,214252
8192,1,silence,11464.2,0,428480,427328,143415,207940
8192,3,mixed,179454.8,0,559552,706104,412463,202675
8192,3,silence,11444.8,0,559552,706104,412880,206775
8192,5,mixed,281489.5,0,690624,837176,562918,276715
8192,5,silence,11323.1,0,690624,837176,552815,275230
16384,1,mixed,126822.6,0,854816,1001496,417258,416431
16384,1,silence,17055.3,0,854816,1001496,402635,403347
16384,3,mixed,291018.5,0,1116960,1411272,951800,402126
16384,3,silence,17129.6,0,1116960,1411272,958736,400048
16384,5,mixed,451461.0,0,1379104,1673416,1231653,532721
16384,5,silence,16865.6,0,1379104,1673416,1201740,535120
