n,tapers,reading,phase,gain_bits,peak_bucket,byte,node_peak,fade
8192,3,Fold,6,0,3827,0,0.000000000,0.199999988
8192,3,Fold,7,0,3827,0,0.000000000,0.000000000
8192,3,Fold,8,0,3827,0,0.000000000,0.000000000
8192,3,Fold,9,0,3827,0,0.000000000,0.000000000
8192,3,Spectrum,0,0,3827,0,0.000000000,0.000000000
8192,3,Spectrum,1,987766785,2095,127,0.498039216,0.000000000
8192,3,Spectrum,2,987766786,2095,127,0.501960814,0.199999988
8192,3,Spectrum,3,984234889,2095,117,0.458823532,0.399999976
8192,3,Spectrum,4,979938848,2095,102,0.403921574,0.599999964
8192,3,Spectrum,5,979938847,2095,102,0.400000006,0.399999976
8192,3,Spectrum,6,0,3827,0,0.000000000,0.199999988
8192,3,Spectrum,7,0,3827,0,0.000000000,0.000000000
8192,3,Spectrum,8,0,3827,0,0.000000000,0.000000000
8192,3,Spectrum,9,0,3827,0,0.000000000,0.000000000
8192,5,Fold,0,0,3827,0,0.000000000,0.000000000
8192,5,Fold,1,987725676,2095,127,0.498039216,0.000000000
8192,5,Fold,2,987725677,2095,127,0.498039216,0.000000000
8192,5,Fold,3,984203665,2095,117,0.458823532,0.000000000
8192,5,Fold,4,979896170,2095,102,0.400000006,0.000000000
8192,5,Fold,5,979896169,2095,102,0.400000006,0.000000000
8192,5,Fold,6,0,3827,0,0.000000000,0.000000000
8192,5,Fold,7,0,3827,0,0.000000000,0.000000000
8192,5,Fold,8,0,3827,0,0.000000000,0.000000000
8192,5,Fold,9,0,3827,0,0.000000000,0.000000000
8192,5,Spectrum,0,0,3827,0,0.000000000,0.000000000
8192,5,Spectrum,1,987715427,2095,127,0.498039216,0.000000000
8192,5,Spectrum,2,987715428,2095,127,0.501960814,0.199999988
8192,5,Spectrum,3,984195881,2095,117,0.458823532,0.399999976
8192,5,Spectrum,4,979885531,2095,102,0.403921574,0.599999964
8192,5,Spectrum,5,979885530,2095,102,0.400000006,0.399999976
8192,5,Spectrum,6,0,3827,0,0.000000000,0.199999988
8192,5,Spectrum,7,0,3827,0,0.000000000,0.000000000
8192,5,Spectrum,8,0,3827,0,0.000000000,0.000000000
8192,5,Spectrum,9,0,3827,0,0.000000000,0.000000000
16384,1,Fold,0,0,3827,0,0.000000000,0.000000000
16384,1,Fold,1,989915711,2095,127,0.498039216,0.000000000
16384,1,Fold,2,989915712,2095,128,0.501960814,0.199999988
16384,1,Fold,3,985912638,2095,117,0.458823532,0.399999976
16384,1,Fold,4,981849597,2095,103,0.403921574,0.599999964
