n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,67462.8,0,215840,468840,208091,100333
4096,1,silence,8327.0,0,215840,468840,199180,104574
4096,3,mixed,105334.6,0,281376,468840,350635,106357
4096,3,silence,8281.5,0,281376,468840,339850,102655
4096,5,mixed,145251.9,0,346912,468840,407143,136037
4096,5,silence,8128.5,0,346912,468840,421563,138032
8192,1,mixed,83932.2,0,428480,427328,134201,202732
8192,1,silence,11163.5,0,428480,427328,131483,208962
8192,3,mixed,179687.3,0,559552,706104,461543,214023
8192,3,silence,11656.2,0,559552,706104,426296,203283
8192,5,mixed,282487.8,0,690624,837176,552683,280054
8192,5,silence,11504.3,0,690624,837176,556431,276766
16384,1,mixed,126601.2,0,854816,1001496,399253,402616
16384,1,silence,17690.1,0,854816,1001496,399490,406225
16384,3,mixed,295958.8,0,1116960,1411272,966981,407195
16384,3,silence,18191.3,0,1116960,1411272,1010150,425275
16384,5,mixed,456049.9,0,1379104,1673416,1237141,539665
16384,5,silence,17641.1,0,1379104,1673416,1221030,538050
