n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,97829.5,0,165808,344496,143420,84132
4096,1,silence,8439.8,0,165808,344496,133385,79750
4096,3,mixed,195856.9,0,231344,344496,256763,78558
4096,3,silence,8354.6,0,231344,344496,244428,82031
4096,5,mixed,297014.1,0,296880,344496,311598,112445
4096,5,silence,8378.8,0,296880,344496,320665,111688
8192,1,mixed,151287.1,0,329648,328112,90356,154203
8192,1,silence,11338.2,0,329648,328112,89041,167966
8192,3,mixed,364653.8,0,460720,491952,313763,162391
8192,3,silence,11587.7,0,460720,491952,321318,159294
8192,5,mixed,581945.9,0,591792,623024,446115,228443
8192,5,silence,11489.1,0,591792,623024,451140,229460
16384,1,mixed,276909.0,0,657328,672176,268043,315274
16384,1,silence,17500.6,0,657328,672176,275795,322047
16384,3,mixed,743541.7,0,919472,983472,733631,315465
16384,3,silence,17513.2,0,919472,983472,723088,314178
16384,5,mixed,1227987.9,0,1181616,1245616,993561,462620
16384,5,silence,17942.9,0,1181616,1245616,993205,446958
