n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,99578.8,0,165808,344496,131863,88774
4096,1,silence,8724.6,0,165808,344496,136578,82473
4096,3,mixed,195353.1,0,231344,344496,248408,80339
4096,3,silence,8217.3,0,231344,344496,241406,79485
4096,5,mixed,294471.4,0,296880,344496,318003,112117
4096,5,silence,8239.1,0,296880,344496,320733,115770
8192,1,mixed,150462.8,0,329648,328112,94296,157380
8192,1,silence,11368.6,0,329648,328112,96933,163205
8192,3,mixed,365410.6,0,460720,491952,320828,159525
8192,3,silence,11356.1,0,460720,491952,316495,158171
8192,5,mixed,577110.2,0,591792,623024,450336,227605
8192,5,silence,11689.2,0,591792,623024,463363,231258
16384,1,mixed,280240.1,0,657328,672176,279846,316110
16384,1,silence,17531.1,0,657328,672176,270990,314691
16384,3,mixed,741464.8,0,919472,983472,732391,315920
16384,3,silence,17634.5,0,919472,983472,725168,311659
16384,5,mixed,1226175.9,0,1181616,1245616,999355,454835
16384,5,silence,17462.4,0,1181616,1245616,998408,455156
