n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,64290.7,0,215840,468840,209701,106147
4096,1,silence,8296.9,0,215840,468840,206505,104542
4096,3,mixed,103859.1,0,281376,468840,339055,104482
4096,3,silence,8569.0,0,281376,468840,350966,101726
4096,5,mixed,143902.3,0,346912,468840,422786,142664
4096,5,silence,8379.7,0,346912,468840,410543,142410
8192,1,mixed,84957.7,0,428480,427328,141721,206222
8192,1,silence,11561.6,0,428480,427328,139898,212934
8192,3,mixed,181590.3,0,559552,706104,412596,202662
8192,3,silence,11448.7,0,559552,706104,414625,202240
8192,5,mixed,281557.7,0,690624,837176,550825,275423
8192,5,silence,11382.0,0,690624,837176,549695,274348
16384,1,mixed,125644.0,0,854816,1001496,408115,402195
16384,1,silence,17241.3,0,854816,1001496,396851,402622
16384,3,mixed,287651.0,0,1116960,1411272,944636,405864
16384,3,silence,17429.1,0,1116960,1411272,948746,405368
16384,5,mixed,453496.1,0,1379104,1673416,1231071,534695
16384,5,silence,17260.9,0,1379104,1673416,1207135,544692
