n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,65118.7,0,215840,468840,216556,103566
4096,1,silence,8238.6,0,215840,468840,206181,107199
4096,3,mixed,103367.2,0,281376,468840,340896,104598
4096,3,silence,8190.9,0,281376,468840,347841,105426
4096,5,mixed,141519.4,0,346912,468840,410865,138160
4096,5,silence,8600.2,0,346912,468840,405783,138696
8192,1,mixed,86082.9,0,428480,427328,135288,204691
8192,1,silence,11477.5,0,428480,427328,144278,209868
8192,3,mixed,175478.3,0,559552,706104,403491,206505
8192,3,silence,11247.7,0,559552,706104,412896,200641
8192,5,mixed,265969.2,0,690624,837176,548475,269620
8192,5,silence,11405.8,0,690624,837176,547160,282462
16384,1,mixed,126131.6,0,854816,1001496,418826,406676
16384,1,silence,17443.2,0,854816,1001496,399023,408344
16384,3,mixed,289092.9,0,1116960,1411272,940365,400526
16384,3,silence,16920.6,0,1116960,1411272,955303,397613
16384,5,mixed,453201.2,0,1379104,1673416,1244426,549261
16384,5,silence,17342.3,0,1379104,1673416,1258470,551588
