n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,66999.7,0,215840,468840,211556,102445
4096,1,silence,8330.6,0,215840,468840,205305,107330
4096,3,mixed,104809.0,0,281376,468840,351415,100701
4096,3,silence,8261.6,0,281376,468840,351075,104375
4096,5,mixed,142138.4,0,346912,468840,420278,138616
4096,5,silence,8337.4,0,346912,468840,411293,139503
8192,1,mixed,83452.8,0,428480,427328,135285,205426
8192,1,silence,11441.5,0,428480,427328,137976,205102
8192,3,mixed,179116.2,0,559552,706104,419336,213307
8192,3,silence,11469.9,0,559552,706104,413576,207130
8192,5,mixed,283470.0,0,690624,837176,557271,270755
8192,5,silence,11430.5,0,690624,837176,555540,281449
16384,1,mixed,127424.2,0,854816,1001496,416748,407845
16384,1,silence,17554.8,0,854816,1001496,418621,422909
16384,3,mixed,294974.9,0,1116960,1411272,979958,412652
16384,3,silence,17555.5,0,1116960,1411272,947681,411614
16384,5,mixed,458665.3,0,1379104,1673416,1247110,542447
16384,5,silence,17700.7,0,1379104,1673416,1238891,538412
