n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,97657.7,0,165808,344496,144403,78825
4096,1,silence,8375.1,0,165808,344496,141726,79262
4096,3,mixed,193910.8,0,231344,344496,396518,84459
4096,3,silence,9050.9,0,231344,344496,252038,81595
4096,5,mixed,300565.9,0,296880,344496,319761,113606
4096,5,silence,8626.8,0,296880,344496,316715,115228
8192,1,mixed,151045.2,0,329648,328112,86570,157791
8192,1,silence,11360.8,0,329648,328112,88345,160033
8192,3,mixed,366756.3,0,460720,491952,313246,157070
8192,3,silence,11314.0,0,460720,491952,311548,157037
8192,5,mixed,581229.1,0,591792,623024,456985,228734
8192,5,silence,11090.7,0,591792,623024,445990,239533
16384,1,mixed,277993.5,0,657328,672176,266205,313212
16384,1,silence,17512.5,0,657328,672176,268298,309280
16384,3,mixed,737569.5,0,919472,983472,733405,309845
16384,3,silence,17766.6,0,919472,983472,729000,318432
16384,5,mixed,1217479.4,0,1181616,1245616,1002333,450621
16384,5,silence,17559.4,0,1181616,1245616,1004533,456046
