n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,65276.5,0,215840,468840,214568,101460
4096,1,silence,8373.6,0,215840,468840,213111,105080
4096,3,mixed,106516.2,0,281376,468840,342913,110061
4096,3,silence,8445.0,0,281376,468840,354325,102725
4096,5,mixed,145606.7,0,346912,468840,417081,142939
4096,5,silence,8449.1,0,346912,468840,414696,134227
8192,1,mixed,85009.6,0,428480,427328,135395,208815
8192,1,silence,11544.8,0,428480,427328,136691,206591
8192,3,mixed,182707.9,0,559552,706104,414240,206292
8192,3,silence,11519.5,0,559552,706104,427486,206153
8192,5,mixed,281279.1,0,690624,837176,563860,276443
8192,5,silence,11596.5,0,690624,837176,546720,274642
16384,1,mixed,126096.8,0,854816,1001496,418903,413702
16384,1,silence,17564.6,0,854816,1001496,537175,422890
16384,3,mixed,327621.9,0,1116960,1411272,975765,405759
16384,3,silence,17664.8,0,1116960,1411272,955516,401166
16384,5,mixed,453797.0,0,1379104,1673416,1240116,549130
16384,5,silence,18038.2,0,1379104,1673416,1224373,542941
