n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,96102.2,0,165808,344496,134713,78224
4096,1,silence,8366.5,0,165808,344496,135071,78387
4096,3,mixed,195003.3,0,231344,344496,247796,78910
4096,3,silence,8228.2,0,231344,344496,245598,79560
4096,5,mixed,295188.2,0,296880,344496,319568,119412
4096,5,silence,8127.6,0,296880,344496,325798,113885
8192,1,mixed,149054.8,0,329648,328112,89085,158415
8192,1,silence,11367.0,0,329648,328112,86050,156546
8192,3,mixed,364350.2,0,460720,491952,332953,159272
8192,3,silence,11489.0,0,460720,491952,325830,159217
8192,5,mixed,581452.7,0,591792,623024,458968,226393
8192,5,silence,11273.8,0,591792,623024,449130,225467
16384,1,mixed,277593.0,0,657328,672176,267766,317570
16384,1,silence,17590.9,0,657328,672176,270080,315834
16384,3,mixed,740557.6,0,919472,983472,726068,315166
16384,3,silence,17599.3,0,919472,983472,718870,315953
16384,5,mixed,1210680.7,0,1181616,1245616,1018685,517894
16384,5,silence,17965.1,0,1181616,1245616,1027405,450093
