n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,95039.7,0,165808,344496,132545,81764
4096,1,silence,8393.2,0,165808,344496,134825,81541
4096,3,mixed,195215.6,0,231344,344496,249973,83312
4096,3,silence,8347.6,0,231344,344496,257686,78462
4096,5,mixed,299097.4,0,296880,344496,329556,121675
4096,5,silence,8310.8,0,296880,344496,319908,111785
8192,1,mixed,149765.8,0,329648,328112,89251,155933
8192,1,silence,11494.5,0,329648,328112,87526,159011
8192,3,mixed,362409.4,0,460720,491952,311606,155184
8192,3,silence,11142.9,0,460720,491952,311611,155893
8192,5,mixed,582644.2,0,591792,623024,465003,224359
8192,5,silence,11675.8,0,591792,623024,459018,232130
16384,1,mixed,291815.0,0,657328,672176,286268,321030
16384,1,silence,17472.7,0,657328,672176,277166,330780
16384,3,mixed,745201.3,0,919472,983472,709030,324099
16384,3,silence,17409.5,0,919472,983472,790400,321575
16384,5,mixed,1224555.0,0,1181616,1245616,988856,455936
16384,5,silence,17239.7,0,1181616,1245616,978738,444888
