n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,94996.7,0,165808,344496,157468,79234
4096,1,silence,8329.9,0,165808,344496,132561,80403
4096,3,mixed,198114.7,0,231344,344496,247638,83922
4096,3,silence,8203.5,0,231344,344496,255385,84994
4096,5,mixed,296889.4,0,296880,344496,317511,111140
4096,5,silence,8396.1,0,296880,344496,310258,116793
8192,1,mixed,150354.7,0,329648,328112,87138,158737
8192,1,silence,11215.0,0,329648,328112,92576,165413
8192,3,mixed,368247.5,0,460720,491952,312835,159299
8192,3,silence,11108.3,0,460720,491952,313065,155372
8192,5,mixed,581273.8,0,591792,623024,451453,226294
8192,5,silence,11178.7,0,591792,623024,490753,228378
16384,1,mixed,292837.4,0,657328,672176,262363,324178
16384,1,silence,17953.9,0,657328,672176,290953,334948
16384,3,mixed,744434.8,0,919472,983472,721581,311599
16384,3,silence,17610.7,0,919472,983472,737136,398460
16384,5,mixed,1218204.0,0,1181616,1245616,1001505,446984
16384,5,silence,17257.0,0,1181616,1245616,994256,449515
