n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,67443.7,0,215840,468840,207155,103205
4096,1,silence,7958.7,0,215840,468840,208243,103731
4096,3,mixed,107888.2,0,281376,468840,345333,108930
4096,3,silence,8035.6,0,281376,468840,341245,101665
4096,5,mixed,153306.2,0,346912,468840,429448,140969
4096,5,silence,8145.1,0,346912,468840,415141,142780
8192,1,mixed,86521.7,0,428480,427328,133823,205835
8192,1,silence,11005.9,0,428480,427328,132941,198434
8192,3,mixed,173009.8,0,559552,706104,404455,201193
8192,3,silence,11063.9,0,559552,706104,415511,211844
8192,5,mixed,264467.2,0,690624,837176,535095,275175
8192,5,silence,11286.5,0,690624,837176,543225,273102
16384,1,mixed,126668.0,0,854816,1001496,434038,405876
16384,1,silence,17031.3,0,854816,1001496,405171,400063
16384,3,mixed,290304.6,0,1116960,1411272,963900,411288
16384,3,silence,17657.7,0,1116960,1411272,938571,401719
16384,5,mixed,450909.9,0,1379104,1673416,1230105,534773
16384,5,silence,17133.7,0,1379104,1673416,1203251,544009
