n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,64917.0,0,215840,468840,216371,105348
4096,1,silence,8526.6,0,215840,468840,205113,109409
4096,3,mixed,104491.5,0,281376,468840,349098,105593
4096,3,silence,8277.3,0,281376,468840,369758,105395
4096,5,mixed,142737.8,0,346912,468840,415615,136597
4096,5,silence,8187.1,0,346912,468840,418420,136920
8192,1,mixed,86032.8,0,428480,427328,142233,206248
8192,1,silence,11160.1,0,428480,427328,143710,205812
8192,3,mixed,178591.2,0,559552,706104,412440,207614
8192,3,silence,11106.6,0,559552,706104,409926,207600
8192,5,mixed,277645.8,0,690624,837176,539841,272797
8192,5,silence,11326.9,0,690624,837176,548476,270205
16384,1,mixed,126128.3,0,854816,1001496,408058,403473
16384,1,silence,17533.6,0,854816,1001496,401488,398465
16384,3,mixed,291237.8,0,1116960,1411272,958828,408276
16384,3,silence,17532.7,0,1116960,1411272,937893,400843
16384,5,mixed,457026.0,0,1379104,1673416,1212253,537092
16384,5,silence,17852.4,0,1379104,1673416,1220735,545362
