n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,96778.7,0,165808,344496,143763,83538
4096,1,silence,8333.6,0,165808,344496,135848,77497
4096,3,mixed,195189.2,0,231344,344496,241795,82415
4096,3,silence,8361.6,0,231344,344496,247298,78475
4096,5,mixed,297321.7,0,296880,344496,327950,110795
4096,5,silence,8221.4,0,296880,344496,314161,117035
8192,1,mixed,153215.4,0,329648,328112,88380,155995
8192,1,silence,11105.8,0,329648,328112,85135,164385
8192,3,mixed,365800.2,0,460720,491952,312403,156169
8192,3,silence,11089.7,0,460720,491952,322026,155639
8192,5,mixed,583687.7,0,591792,623024,438453,220034
8192,5,silence,11188.4,0,591792,623024,445173,235716
16384,1,mixed,278462.2,0,657328,672176,274490,318502
16384,1,silence,17014.6,0,657328,672176,270881,307156
16384,3,mixed,743050.8,0,919472,983472,749756,321869
16384,3,silence,17070.9,0,919472,983472,715681,313683
16384,5,mixed,1214997.4,0,1181616,1245616,1010006,444920
16384,5,silence,16773.6,0,1181616,1245616,988386,448593
