n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,66912.6,0,215840,468840,213871,105526
4096,1,silence,8069.5,0,215840,468840,212581,110770
4096,3,mixed,108593.1,0,281376,468840,355515,102762
4096,3,silence,8443.4,0,281376,468840,369481,104195
4096,5,mixed,149509.3,0,346912,468840,424830,145350
4096,5,silence,8573.5,0,346912,468840,423745,146812
8192,1,mixed,87874.0,0,428480,427328,138310,208086
8192,1,silence,11533.3,0,428480,427328,132606,208764
8192,3,mixed,179030.5,0,559552,706104,414205,200582
8192,3,silence,11140.1,0,559552,706104,402030,199353
8192,5,mixed,283082.2,0,690624,837176,573710,273040
8192,5,silence,11294.3,0,690624,837176,547851,269776
16384,1,mixed,126770.8,0,854816,1001496,408856,406292
16384,1,silence,17184.5,0,854816,1001496,427178,402006
16384,3,mixed,291741.3,0,1116960,1411272,980576,419487
16384,3,silence,17230.0,0,1116960,1411272,946380,403214
16384,5,mixed,454880.2,0,1379104,1673416,1215133,538764
16384,5,silence,16688.0,0,1379104,1673416,1201633,532364
