n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,95463.8,0,165808,344496,139381,80795
4096,1,silence,8051.5,0,165808,344496,138306,79475
4096,3,mixed,194381.8,0,231344,344496,257463,81034
4096,3,silence,8139.2,0,231344,344496,244465,79815
4096,5,mixed,294246.5,0,296880,344496,321565,112640
4096,5,silence,8118.4,0,296880,344496,319565,113477
8192,1,mixed,151652.3,0,329648,328112,90690,155288
8192,1,silence,11136.5,0,329648,328112,86298,153617
8192,3,mixed,366013.1,0,460720,491952,326250,158899
8192,3,silence,11488.1,0,460720,491952,314088,156619
8192,5,mixed,580635.6,0,591792,623024,457321,223670
8192,5,silence,11389.8,0,591792,623024,459120,222928
16384,1,mixed,278482.6,0,657328,672176,269841,313456
16384,1,silence,17131.9,0,657328,672176,269856,315307
16384,3,mixed,755109.8,0,919472,983472,771718,313562
16384,3,silence,17873.4,0,919472,983472,725918,312322
16384,5,mixed,1210390.8,0,1181616,1245616,985203,445529
16384,5,silence,17510.8,0,1181616,1245616,987635,450847
