n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,65734.6,0,215840,468840,210225,102488
4096,1,silence,7948.5,0,215840,468840,200678,107400
4096,3,mixed,102651.7,0,281376,468840,342698,104202
4096,3,silence,8393.7,0,281376,468840,337586,107158
4096,5,mixed,142024.4,0,346912,468840,436675,135744
4096,5,silence,8405.6,0,346912,468840,416483,141140
8192,1,mixed,85259.3,0,428480,427328,137308,209401
8192,1,silence,11329.1,0,428480,427328,154195,209070
8192,3,mixed,178753.6,0,559552,706104,412068,205335
8192,3,silence,11201.0,0,559552,706104,431383,209068
8192,5,mixed,274996.2,0,690624,837176,558471,274670
8192,5,silence,11357.2,0,690624,837176,556898,271876
16384,1,mixed,124874.2,0,854816,1001496,410623,407895
16384,1,silence,17365.8,0,854816,1001496,404730,408648
16384,3,mixed,290442.6,0,1116960,1411272,934795,413258
16384,3,silence,16913.9,0,1116960,1411272,950003,410653
16384,5,mixed,454188.8,0,1379104,1673416,1238518,547931
16384,5,silence,17336.2,0,1379104,1673416,1216453,535121
