n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,65239.9,0,215840,468840,224915,107818
4096,1,silence,8205.3,0,215840,468840,213275,109504
4096,3,mixed,104027.2,0,281376,468840,352421,106810
4096,3,silence,8297.4,0,281376,468840,354606,109599
4096,5,mixed,142478.5,0,346912,468840,430061,142286
4096,5,silence,8163.8,0,346912,468840,409253,137065
8192,1,mixed,82877.6,0,428480,427328,136631,199627
8192,1,silence,10881.7,0,428480,427328,130811,202423
8192,3,mixed,173424.0,0,559552,706104,403626,204520
8192,3,silence,11050.6,0,559552,706104,403216,201400
8192,5,mixed,286697.0,0,690624,837176,556465,286041
8192,5,silence,11409.5,0,690624,837176,557380,283517
16384,1,mixed,128476.2,0,854816,1001496,428345,401341
16384,1,silence,16688.7,0,854816,1001496,411073,401782
16384,3,mixed,290030.9,0,1116960,1411272,947965,411887
16384,3,silence,17225.1,0,1116960,1411272,951246,397257
16384,5,mixed,456646.2,0,1379104,1673416,1269730,567633
16384,5,silence,17008.0,0,1379104,1673416,1216021,547849
