n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,94311.6,0,165808,344496,129873,81673
4096,1,silence,8156.5,0,165808,344496,134828,82316
4096,3,mixed,206382.9,0,231344,344496,278665,79701
4096,3,silence,8219.8,0,231344,344496,246475,85046
4096,5,mixed,300425.4,0,296880,344496,312401,114208
4096,5,silence,8080.6,0,296880,344496,323986,114346
8192,1,mixed,157767.0,0,329648,328112,92521,156942
8192,1,silence,11243.3,0,329648,328112,91466,158605
8192,3,mixed,370141.7,0,460720,491952,317826,159254
8192,3,silence,11371.3,0,460720,491952,321976,164536
8192,5,mixed,585202.8,0,591792,623024,470045,224563
8192,5,silence,10965.6,0,591792,623024,446875,224272
16384,1,mixed,272914.2,0,657328,672176,266301,307334
16384,1,silence,17254.7,0,657328,672176,265675,305540
16384,3,mixed,749953.0,0,919472,983472,736845,326018
16384,3,silence,18222.0,0,919472,983472,751038,324861
16384,5,mixed,1213534.3,0,1181616,1245616,1022250,463240
16384,5,silence,17547.0,0,1181616,1245616,996228,450860
