n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,64139.2,0,215840,468840,218060,101588
4096,1,silence,8078.3,0,215840,468840,202155,104280
4096,3,mixed,102321.2,0,281376,468840,357625,105798
4096,3,silence,8047.2,0,281376,468840,340400,102837
4096,5,mixed,142619.2,0,346912,468840,443776,140808
4096,5,silence,8395.9,0,346912,468840,436521,140742
8192,1,mixed,87176.0,0,428480,427328,136053,214589
8192,1,silence,11538.1,0,428480,427328,134860,205711
8192,3,mixed,179497.7,0,559552,706104,405813,203399
8192,3,silence,11318.1,0,559552,706104,407128,206806
8192,5,mixed,278438.8,0,690624,837176,554045,271434
8192,5,silence,11195.4,0,690624,837176,550736,277690
16384,1,mixed,128639.8,0,854816,1001496,417065,418551
16384,1,silence,17012.8,0,854816,1001496,416416,408911
16384,3,mixed,290700.0,0,1116960,1411272,944518,409650
16384,3,silence,16787.0,0,1116960,1411272,949840,400034
16384,5,mixed,455351.2,0,1379104,1673416,1217725,542257
16384,5,silence,17005.4,0,1379104,1673416,1235375,537792
