n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,96111.8,0,165808,344496,131848,77400
4096,1,silence,7830.9,0,165808,344496,128695,84837
4096,3,mixed,194467.8,0,231344,344496,254470,80538
4096,3,silence,8306.5,0,231344,344496,251533,76757
4096,5,mixed,294941.7,0,296880,344496,310231,114950
4096,5,silence,8201.6,0,296880,344496,321501,119904
8192,1,mixed,154001.1,0,329648,328112,89465,157440
8192,1,silence,10983.3,0,329648,328112,88153,155913
8192,3,mixed,364687.8,0,460720,491952,328085,160521
8192,3,silence,11491.7,0,460720,491952,315705,161105
8192,5,mixed,583777.4,0,591792,623024,453795,223235
8192,5,silence,11348.7,0,591792,623024,448905,230159
16384,1,mixed,294531.2,0,657328,672176,278706,320899
16384,1,silence,17438.3,0,657328,672176,274996,330613
16384,3,mixed,751057.5,0,919472,983472,719283,311426
16384,3,silence,17154.8,0,919472,983472,843840,318990
16384,5,mixed,1213949.8,0,1181616,1245616,986618,452359
16384,5,silence,17224.4,0,1181616,1245616,981381,453035
