n,tapers,input,ns_per_column,steady_allocs,retained_bytes,construct_peak_bytes,init_ns,reconfigure_ns
4096,1,mixed,94031.2,0,165808,344496,132430,79420
4096,1,silence,8145.9,0,165808,344496,147158,86450
4096,3,mixed,233210.0,0,231344,344496,251446,81166
4096,3,silence,8359.0,0,231344,344496,249701,81958
4096,5,mixed,296751.4,0,296880,344496,324296,116147
4096,5,silence,7910.1,0,296880,344496,310030,116028
8192,1,mixed,149312.2,0,329648,328112,90158,160707
8192,1,silence,11110.8,0,329648,328112,96865,155780
8192,3,mixed,368046.1,0,460720,491952,322146,163653
8192,3,silence,11192.8,0,460720,491952,317326,158453
8192,5,mixed,589638.7,0,591792,623024,442116,222674
8192,5,silence,11215.0,0,591792,623024,447420,226724
16384,1,mixed,275613.3,0,657328,672176,266321,319321
16384,1,silence,17867.9,0,657328,672176,276453,328463
16384,3,mixed,747848.9,0,919472,983472,710826,313728
16384,3,silence,17463.2,0,919472,983472,731703,307080
16384,5,mixed,1208778.2,0,1181616,1245616,986118,449500
16384,5,silence,17721.1,0,1181616,1245616,979245,452342
